Information,file_path,Layer,Short_Name,Label,Group,Sensitive,Source,Merge
Georgian Bay South Simcoe Aquatic ecosystem classification (AEC) for Ontario,C:\Users\ConservAnalyst\Documents\ConservationAnalyst\GISDatabase\Baselayers\AEC\AEC_V3_GeoHub_Rev0_GPKG_Package04_LakeHuronSouth\w14_Georgian_Bay_South_Simcoe\w14_AEC_V3_GeoHub_Rev0.gpkg\main.w14_Reach_SimpleGeometry_GeoHub,,AEC,,Ecological Priorities,,https://www.arcgis.com/home/item.html?id=76aa2ffb0ae74368b1d245d50726ae24#overview,AEC
Lake Ontatio Central Aquatic ecosystem classification (AEC) for Ontario,C:\Users\ConservAnalyst\Documents\ConservationAnalyst\GISDatabase\Baselayers\AEC\AEC_V3_GeoHub_Rev0_GPKG_Package02_LakeOntario\w04_Lake_Ontario_Central\w04_AEC_V3_GeoHub_Rev0.gpkg\main.w04_Reach_SimpleGeometry_GeoHub,,AEC,,,,https://www.arcgis.com/home/item.html?id=76aa2ffb0ae74368b1d245d50726ae24#overview,AEC
Lake Ontario Kawarthas Aquatic ecosystem classification (AEC) for Ontario,C:\Users\ConservAnalyst\Documents\ConservationAnalyst\GISDatabase\Baselayers\AEC\AEC_V3_GeoHub_Rev0_GPKG_Package02_LakeOntario\w05_Lake_Ontario_Kawarthas\w05_AEC_V3_GeoHub_Rev0.gpkg\main.w05_Reach_SimpleGeometry_GeoHub,,AEC,,,,https://www.arcgis.com/home/item.html?id=76aa2ffb0ae74368b1d245d50726ae24#overview,AEC
"Nearby Conservation Lands (Crown land, Nature Reserves, County forest)",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/CouchichingData/Other_Orgs/Orillia_Fish_and_Game/GeorgeLangmanSanctuary.shp,,GLSanct,Protected,Mask,,,
"Nearby Conservation Lands (Crown land, Nature Reserves, County forest)",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/CouchichingData/Other_Orgs/Huronia_Land_Conservation.db.gdb,HuroniaLandConservation,HuronLC,Protected,Mask,,,
UPDATE TO MASTER INDEX FILTERED TO NR AND EASE,,Nature_Reserve_Land_Parcel,NR,Protected,Mask,Couchiching Conservancy,,
"Nearby Conservation Lands (Crown land, Nature Reserves, County forest)",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/CouchichingData/Other_Orgs/NVCA/DataReq_Name_RefID.gdb,Property_NVCA_ExportFeatures,NVCA,Protected,Mask,,,
"Nearby Conservation Lands (Crown land, Nature Reserves, County forest)",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Canadian_Protected_Conserved_Areas_CPCAD/ProtectedConservedArea_2025/ProtectedConservedArea_2025.gdb,ProtectedConservedArea_2025,ProConsArea,Protected,Mask,,,
"Nearby Conservation Lands (Crown land, Nature Reserves, County forest)",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISProjects/Baselayer Shapefiles/SimcoeCountyForests/202106_CouchinchingConservancy.gdb,SC_FORESTTRACTS,SimFor,Protected,Mask,Country of Simcoe,,
Nearby Waterbodies,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/OHN_Waterbody/Non_Sensitive.gdb,UPDATE,OHN_waterbody,Abiotic,No,https://geohub.lio.gov.on.ca/datasets/mnrf::ontario-hydro-network-ohn-waterbody/about,,
Wetland,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Wetland/Non_Sensitive.gdb,WETLAND,Prov_wetland,Abiotic,No,https://geohub.lio.gov.on.ca/datasets/mnrf::wetland/explore?location=49.275000%2C-84.498000%2C4,,
Significant Groundwater Recharge (SGRA),C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/LSCRA_Significant_Groundwater_Recharge_Area/Significant_Groundwater_Recharge_Area_(SGRA).shp,,SGRA,Abiotic,No,https://lsrca-open-data-camaps.opendata.arcgis.com/datasets/significant-groundwater-recharge-area-sgra/explore?location=44.596450%2C-79.529750%2C9,,
Soil Survey Complex,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Soil_Survey_Complex/Non_Sensitive.gdb,SOIL_SURVEY_COMPLEX,Soil,Abiotic,No,https://geohub.lio.gov.on.ca/datasets/ontarioca11::soil-survey-complex,,
Watershed Boundary,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/OntarioWatershedDatabase/Non_Sensitive.gdb,ONT_WSHED_BDRY,Watershed,Abiotic,No,https://geohub.lio.gov.on.ca/maps/mnrf::ontario-watershed-boundaries-owb/about,,
County,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Municipal_Boundary_Upper_and_District/Non_Sensitive.gdb,,County,Administrative,No,https://geohub.lio.gov.on.ca/datasets/municipal-boundary-upper-tier-and-district/,,
First Nations Reserves,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/First_Nation_Reserve/Non_Sensitive.gdb,FIRST_NATION_RESERVE,FirstNation,Administrative,No,https://geohub.lio.gov.on.ca/datasets/lio::first-nation-reserve/explore?location=49.261208%2C-84.732487%2C4,,
